target,repr,split,model,fold,n_test,r2,mae
M300_MPa,tp,random,ridge,3,303,0.719079780592133,1.8253398116327222
M300_MPa,tp,random,ridge,4,303,0.6750205772115291,1.8783538010869048
M300_MPa,tp,random,rf,0,304,0.8808623418447142,1.1034315267046044
M300_MPa,tp,random,rf,1,304,0.8572521269108996,1.2776679051305395
M300_MPa,tp,random,rf,2,303,0.8471738002434785,1.1537743031522045
M300_MPa,tp,random,rf,3,303,0.871711177826971,1.10514185766926
M300_MPa,tp,random,rf,4,303,0.8813569306075434,1.0510560749861704
M300_MPa,tp,random,hgb,0,304,0.8978943022085063,1.0073708606188363
M300_MPa,tp,random,hgb,1,304,0.8616600526588313,1.1875183840830892
M300_MPa,tp,random,hgb,2,303,0.8408638673969191,1.1454314631459812
M300_MPa,tp,random,hgb,3,303,0.8812617279352543,1.064685612431416
M300_MPa,tp,random,hgb,4,303,0.8828100302969244,0.9999870761290065
M300_MPa,tp,patent,ridge,0,304,0.028899397409532956,3.63798009904637
M300_MPa,tp,patent,ridge,1,304,0.2810438401605383,3.116169152263315
M300_MPa,tp,patent,ridge,2,303,0.25457996016861495,2.7670138062115597
M300_MPa,tp,patent,ridge,3,303,0.2061600644590823,3.265317714055736
M300_MPa,tp,patent,ridge,4,303,0.23180531931861503,3.3737881429264536
M300_MPa,tp,patent,rf,0,304,0.3581815881890331,2.94847631323035
M300_MPa,tp,patent,rf,1,304,0.24811005433543087,3.3665648294929738
M300_MPa,tp,patent,rf,2,303,0.5195196529601418,2.326736901270672
M300_MPa,tp,patent,rf,3,303,0.5022280327477444,2.516178331948957
M300_MPa,tp,patent,rf,4,303,0.3599651332785888,2.8899195794097197
M300_MPa,tp,patent,hgb,0,304,-0.010831531057527766,3.624275064615549
M300_MPa,tp,patent,hgb,1,304,0.25988161766400275,3.281829861581552
M300_MPa,tp,patent,hgb,2,303,0.48208356624903226,2.496718981664759
M300_MPa,tp,patent,hgb,3,303,0.4982199420422432,2.4881389202846544
M300_MPa,tp,patent,hgb,4,303,0.3866905610623338,2.6969107539917836
M300_MPa,plain+polybert,random,ridge,0,304,0.6844985802543722,1.8714545606043158
M300_MPa,plain+polybert,random,ridge,1,304,0.7073023956240274,1.9623598391001478
M300_MPa,plain+polybert,random,ridge,2,303,0.7218710135936097,1.7930997937769897
M300_MPa,plain+polybert,random,ridge,3,303,0.7570209727281773,1.6935443042748877
M300_MPa,plain+polybert,random,ridge,4,303,0.7190916235325482,1.692641095495455
M300_MPa,plain+polybert,random,rf,0,304,0.8866245714216817,1.0712174925702993
M300_MPa,plain+polybert,random,rf,1,304,0.8624153908478476,1.2543083077526802
M300_MPa,plain+polybert,random,rf,2,303,0.85012714863037,1.1427448358004386
M300_MPa,plain+polybert,random,rf,3,303,0.8744911728140293,1.092530568766657
M300_MPa,plain+polybert,random,rf,4,303,0.8776964442109914,1.0515816539690035
M300_MPa,plain+polybert,random,hgb,0,304,0.902726966138848,0.9721858166375723
M300_MPa,plain+polybert,random,hgb,1,304,0.8719704165604051,1.151434384777247
M300_MPa,plain+polybert,random,hgb,2,303,0.8462671088235274,1.140590301429533
M300_MPa,plain+polybert,random,hgb,3,303,0.8806289085358743,1.0763267080348307
M300_MPa,plain+polybert,random,hgb,4,303,0.8804696427692006,0.9943192711395199
M300_MPa,plain+polybert,patent,ridge,0,304,0.03044376723669151,3.5254266498961053
